,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
11064,Sweden,Lerum,42,Good,1,Good,42,Good,2,Good,24,Good,57.7667,12.3,Europe
11065,Guatemala,Mixco,87,Moderate,2,Good,6,Good,7,Good,87,Moderate,14.6338,-90.6146,North America
11066,United States,Montclair,69,Moderate,2,Good,20,Good,16,Good,69,Moderate,40.8253,-74.2111,North America
11067,Mali,Markala,74,Moderate,1,Good,16,Good,0,Good,74,Moderate,13.6739,-6.075,Africa
11068,Jamaica,May Pen,125,Unhealthy for Sensitive Groups,2,Good,16,Good,7,Good,125,Unhealthy for Sensitive Groups,17.965,-77.245,North America
11069,Germany,Merzig,64,Moderate,1,Good,33,Good,4,Good,64,Moderate,49.45,6.6167,Europe
11070,Uganda,Mukono,94,Moderate,3,Good,23,Good,1,Good,94,Moderate,0.3533,32.7553,Africa
11071,United States,Muskegon Heights,54,Moderate,1,Good,32,Good,4,Good,54,Moderate,43.2023,-86.2421,North America
11072,Zimbabwe,Mutare,29,Good,1,Good,21,Good,0,Good,29,Good,-18.9667,32.6333,Africa
11073,Burundi,Muyinga,64,Moderate,3,Good,17,Good,1,Good,64,Moderate,-2.85,30.3333,Africa
11074,United States,New Bern,45,Good,1,Good,45,Good,3,Good,26,Good,35.0955,-77.0723,North America
11075,Poland,Nidzica,34,Good,1,Good,34,Good,0,Good,24,Good,53.3667,20.4333,Europe
11076,Belgium,Ninove,66,Moderate,1,Good,30,Good,6,Good,66,Moderate,50.8333,4.0167,Europe
11077,Italy,Opera,66,Moderate,1,Good,37,Good,3,Good,66,Moderate,45.3833,9.2167,Europe
11078,Philippines,Orion,43,Good,1,Good,27,Good,1,Good,43,Good,14.6206,120.5817,Asia
11079,Russia,Osinniki,43,Good,1,Good,43,Good,1,Good,29,Good,53.6167,87.3333,Asia
11080,Sweden,Oskarshamn,37,Good,1,Good,37,Good,0,Good,18,Good,57.265,16.45,Europe
11081,Italy,Palagonia,56,Moderate,1,Good,44,Good,1,Good,56,Moderate,37.3333,14.75,Europe
11082,Ghana,Kpandu,66,Moderate,1,Good,17,Good,1,Good,66,Moderate,7.0,0.3,Africa
11083,United States,La Puente,140,Unhealthy for Sensitive Groups,4,Good,2,Good,34,Good,140,Unhealthy for Sensitive Groups,34.0323,-117.9533,North America
11084,Germany,Norden,43,Good,1,Good,30,Good,4,Good,43,Good,53.5967,7.2056,Europe
11085,United States,North Branch,50,Good,1,Good,28,Good,4,Good,50,Good,45.5137,-92.9601,North America
11086,United States,North Las Vegas,57,Moderate,2,Good,12,Good,17,Good,57,Moderate,36.2883,-115.0888,North America
11087,Philippines,Noveleta,48,Good,1,Good,27,Good,1,Good,48,Good,14.4333,120.8833,Asia
11088,United States,Odenton,49,Good,1,Good,29,Good,10,Good,49,Good,39.0661,-76.6938,North America
11089,United States,San Fernando,109,Unhealthy for Sensitive Groups,3,Good,6,Good,28,Good,109,Unhealthy for Sensitive Groups,15.0333,120.6833,North America
